Unnamed: 0,province,CO2_tonnes,year
400.0,Kanchanaburi,3685168.561747583,2005
401.0,Khon Kaen,5233855.416391694,2005
402.0,Krabi,1210912.9691144428,2005
403.0,Lampang,23403071.43587337,2005
404.0,Lamphun,1095069.4808642669,2005
405.0,Loei,808537.7115969124,2005
406.0,Lopburi,2675580.0693247425,2005
407.0,Mae Hong Son,181272.0715155129,2005
408.0,Maha Sarakham,1133049.841610717,2005
409.0,Mukdahan,419953.3960506492,2005
410.0,Nakhon Nayok,860635.1254535279,2005
411.0,Nakhon Pathom,3981066.942953705,2005
412.0,Nakhon Phanom,711964.6433904228,2005
413.0,Nakhon Ratchasima,5385467.486812109,2005
414.0,Nakhon Sawan,2202491.486236996,2005
415.0,Nakhon Si Thammarat,2785792.32335748,2005
416.0,Nan,535692.6016574921,2005
417.0,Narathiwat,1288768.37816537,2005
418.0,Nong Bua Lamphu,412950.9779622473,2005
419.0,Nong Khai,584272.7389682059,2005
420.0,Nonthaburi,4717911.149124349,2005
421.0,Pathum Thani,5746953.124711325,2005
422.0,Pattani,1073659.0513014244,2005
423.0,Phang Nga,808944.8734861945,2005
424.0,Phatthalung,741654.4575963606,2005
425.0,Phayao,616981.919155888,2005
426.0,Phetchabun,1812224.0926480824,2005
427.0,Phetchaburi,1935707.1281313663,2005
428.0,Phichit,1006631.1034957856,2005
429.0,Phitsanulok,2736449.4189643306,2005
430.0,Phra Nakhon Si Ayutthaya,8055206.977316212,2005
431.0,Phrae,917811.9041577104,2005
432.0,Phuket,1801015.1736980735,2005
433.0,Prachin Buri,4663518.977509967,2005
434.0,Prachuap Khiri Khan,2234882.5139507614,2005
435.0,Ranong,421604.2818542223,2005
436.0,Ratchaburi,10829335.914418468,2005
437.0,Rayong,13204287.0721574,2005
438.0,Roi Et,1177919.0837274408,2005
439.0,Sa Kaeo,919643.5819674088,2005
440.0,Sakon Nakhon,1202878.749296216,2005
441.0,Samut Prakan,6351569.425882751,2005
442.0,Samut Sakhon,2442350.0134779173,2005
443.0,Samut Songkhram,521941.7749388556,2005
444.0,Saraburi,5617607.608297495,2005
445.0,Satun,679495.7311888656,2005
446.0,Sing Buri,638027.1378674492,2005
447.0,Sisaket,543038.5964788531,2005
448.0,Songkhla,3745691.280317064,2005
449.0,Sukhothai,1808065.781114416,2005
450.0,Suphan Buri,3689162.622019848,2005
451.0,Surat Thani,3262092.44833492,2005
452.0,Surin,533714.6204198246,2005
453.0,Tak,1138018.8818045773,2005
454.0,Trang,1558247.4804776371,2005
455.0,Trat,500951.11034663056,2005
456.0,Ubon Ratchathani,1326246.8345344567,2005
457.0,Udon Thani,2636472.732958702,2005
458.0,Uthai Thani,562112.7077504997,2005
459.0,Uttaradit,904561.176919412,2005
460.0,Yala,855884.3383186745,2005
461.0,Yasothon,438270.7692356877,2005
462.0,Amnat Charoen,244482.06053957413,2006
463.0,Ang Thong,774238.5446125092,2006
464.0,Bangkok,22234929.91420353,2006
465.0,Bueng Kan,246268.0118112593,2006
466.0,Buriram,566635.624251769,2006
467.0,Chachoengsao,10610715.254457807,2006
468.0,Chainat,860800.789759243,2006
469.0,Chaiyaphum,1524359.0780127086,2006
470.0,Chanthaburi,1484075.0207553548,2006
471.0,Chiang Mai,6120409.413847575,2006
472.0,Chiang Rai,2229888.96386282,2006
473.0,Chonburi,10923400.285241012,2006
474.0,Chumphon,1485524.5731614952,2006
475.0,Kalasin,1573427.139899762,2006
476.0,Kamphaeng Phet,1407948.0842139595,2006
477.0,Kanchanaburi,3728446.238574351,2006
478.0,Khon Kaen,5294846.699880266,2006
479.0,Krabi,1225757.3618036269,2006
480.0,Lampang,23634110.413388647,2006
481.0,Lamphun,1108493.7663642329,2006
482.0,Loei,818705.0588623475,2006
483.0,Lopburi,2708379.58737668,2006
484.0,Mae Hong Son,183486.6418263536,2006
485.0,Maha Sarakham,1146939.722777646,2006
486.0,Mukdahan,425122.5585023193,2006
487.0,Nakhon Nayok,871185.5169026012,2006
488.0,Nakhon Pathom,4029868.672097382,2006
489.0,Nakhon Phanom,721227.5449674225,2006
490.0,Nakhon Ratchasima,5450265.791128404,2006
491.0,Nakhon Sawan,2229491.484110264,2006
492.0,Nakhon Si Thammarat,2819942.916304923,2006
493.0,Nan,542259.573308823,2006
494.0,Narathiwat,1303625.37145468,2006
495.0,Nong Bua Lamphu,418013.2794671636,2006
496.0,Nong Khai,593326.6213581094,2006
497.0,Nonthaburi,4775747.290085904,2006
498.0,Pathum Thani,5817376.494021565,2006
499.0,Pattani,1086820.8689497542,2006
500.0,Phang Nga,818861.6021063685,2006
501.0,Phatthalung,750746.2837051677,2006
502.0,Phayao,624545.4040617804,2006
503.0,Phetchabun,1834439.8653547985,2006
504.0,Phetchaburi,1959436.6603517588,2006
505.0,Phichit,1018971.2364097212,2006
506.0,Phitsanulok,2769995.126254744,2006
507.0,Phra Nakhon Si Ayutthaya,8143830.031475946,2006
508.0,Phrae,929063.217808321,2006
509.0,Phuket,1823088.0132388785,2006
510.0,Prachin Buri,4714043.208579806,2006
511.0,Prachuap Khiri Khan,2262345.8339059493,2006
512.0,Ranong,426995.3201595073,2006
513.0,Ratchaburi,10941559.71463469,2006
514.0,Rayong,13345863.906315953,2006
515.0,Roi Et,1192359.0095874849,2006
516.0,Sa Kaeo,930964.2904795298,2006
517.0,Sakon Nakhon,1217624.6514200028,2006
518.0,Samut Prakan,6426646.441879516,2006
519.0,Samut Sakhon,2472280.751663944,2006
520.0,Samut Songkhram,528340.1778165612,2006
521.0,Saraburi,5681063.615096648,2006
522.0,Satun,687686.8013632726,2006
523.0,Sing Buri,645848.6128693008,2006
524.0,Sisaket,549695.621501676,2006
525.0,Songkhla,3791214.146780175,2006
526.0,Sukhothai,1830230.5756384423,2006
527.0,Suphan Buri,3734387.4920382975,2006
528.0,Surat Thani,3301597.926425814,2006
529.0,Surin,540257.3446974097,2006
530.0,Tak,1152194.7835369762,2006
531.0,Trang,1577349.793604085,2006
532.0,Trat,507155.6655636043,2006
533.0,Ubon Ratchathani,1342782.2028015498,2006
534.0,Udon Thani,2668770.064153108,2006
535.0,Uthai Thani,569003.5594824591,2006
536.0,Uttaradit,915650.0513625088,2006
537.0,Yala,866254.9389828977,2006
538.0,Yasothon,443643.4621422753,2006
539.0,Amnat Charoen,247027.40440361403,2007
540.0,Ang Thong,782547.6897994298,2007
541.0,Bangkok,22480525.8336046,2007
542.0,Bueng Kan,248681.9153973245,2007
543.0,Buriram,572716.7712323994,2007
544.0,Chachoengsao,10811218.987045126,2007
545.0,Chainat,870038.9236796641,2007
546.0,Chaiyaphum,1540718.5343472094,2007
547.0,Chanthaburi,1500002.1483613108,2007
548.0,Chiang Mai,6186199.669144269,2007
549.0,Chiang Rai,2252706.139007411,2007
550.0,Chonburi,11061521.743118512,2007
551.0,Chumphon,1501467.2575212272,2007
552.0,Kalasin,1590313.1965334543,2007
553.0,Kamphaeng Phet,1424604.4577265356,2007
554.0,Kanchanaburi,3777429.325976677,2007
555.0,Khon Kaen,5366081.46008528,2007
556.0,Krabi,1238912.2179673235,2007
557.0,Lampang,24141685.52207733,2007
558.0,Lamphun,1120390.1460969013,2007
559.0,Loei,827186.5123444967,2007
560.0,Lopburi,2737445.978721895,2007
561.0,Mae Hong Son,185490.4477489748,2007
562.0,Maha Sarakham,1159248.7063577457,2007
563.0,Mukdahan,429661.1450222077,2007
564.0,Nakhon Nayok,880535.0996376395,2007
565.0,Nakhon Pathom,4073124.367219708,2007
566.0,Nakhon Phanom,728360.9792026343,2007
567.0,Nakhon Ratchasima,5514310.466969029,2007
568.0,Nakhon Sawan,2253418.4386410937,2007
569.0,Nakhon Si Thammarat,2850206.607773386,2007
570.0,Nan,548079.115562922,2007
571.0,Narathiwat,1318963.4781438226,2007
572.0,Nong Bua Lamphu,422499.4077394228,2007
573.0,Nong Khai,597549.1734020895,2007
574.0,Nonthaburi,4827000.716904866,2007
575.0,Pathum Thani,5879934.340392091,2007
576.0,Pattani,1098484.65595787,2007
577.0,Phang Nga,827649.6433016114,2007
578.0,Phatthalung,758803.3102447848,2007
579.0,Phayao,631248.0397908845,2007
